N,alpha,cutoff
120,0.005,0.0658
120,0.01,0.0556
120,0.05,0.0323
121,0.001,0.0933
121,0.005,0.0663
121,0.01,0.0562
121,0.05,0.0321
122,0.001,0.0882
122,0.005,0.0653
122,0.01,0.0544
122,0.05,0.0316
123,0.001,0.086
123,0.005,0.0651
123,0.01,0.0544
123,0.05,0.0319
124,0.001,0.0886
124,0.005,0.0662
124,0.01,0.0543
124,0.05,0.0308
125,0.001,0.0891
125,0.005,0.064
125,0.01,0.0539
125,0.05,0.0309
126,0.001,0.0852
126,0.005,0.0618
126,0.01,0.0528
126,0.05,0.0307
127,0.001,0.0819
127,0.005,0.0621
127,0.01,0.0522
127,0.05,0.0306
128,0.001,0.0828
128,0.005,0.062
128,0.01,0.0525
128,0.05,0.0301
129,0.001,0.0872
129,0.005,0.0619
129,0.01,0.0515
129,0.05,0.03
130,0.001,0.0837
130,0.005,0.0612
130,0.01,0.0505
130,0.05,0.0293
131,0.001,0.0816
131,0.005,0.0607
131,0.01,0.0502
131,0.05,0.0294
132,0.001,0.0869
132,0.005,0.0606
132,0.01,0.0504
132,0.05,0.0291
133,0.001,0.0816
133,0.005,0.0605
133,0.01,0.0509
133,0.05,0.0291
134,0.001,0.0816
134,0.005,0.0593
134,0.01,0.0499
134,0.05,0.0291
135,0.001,0.0823
135,0.005,0.0588
135,0.01,0.0493
135,0.05,0.0288
136,0.001,0.0795
136,0.005,0.0571
136,0.01,0.048
136,0.05,0.0284
137,0.001,0.0772
137,0.005,0.0575
137,0.01,0.0486
137,0.05,0.0282
138,0.001,0.0805
138,0.005,0.0574
138,0.01,0.0487
138,0.05,0.028
139,0.001,0.0763
139,0.005,0.0563
139,0.01,0.0481
139,0.05,0.028
140,0.001,0.0804
140,0.005,0.0578
140,0.01,0.0483
140,0.05,0.0276
141,0.001,0.0767
141,0.005,0.0554
141,0.01,0.0472
141,0.05,0.0269
142,0.001,0.0808
142,0.005,0.0563
142,0.01,0.0476
142,0.05,0.027
143,0.001,0.076
143,0.005,0.0557
143,0.01,0.0465
143,0.05,0.0272
144,0.001,0.0749
144,0.005,0.0552
144,0.01,0.0467
144,0.05,0.0267
145,0.001,0.074
145,0.005,0.0531
145,0.01,0.0454
145,0.05,0.0264
146,0.001,0.0746
146,0.005,0.054
146,0.01,0.0451
146,0.05,0.0263
147,0.001,0.0753
147,0.005,0.053
147,0.01,0.0455
147,0.05,0.0261
148,0.001,0.0757
148,0.005,0.0546
148,0.01,0.0455
148,0.05,0.0259
149,0.001,0.0729
149,0.005,0.0534
149,0.01,0.0441
149,0.05,0.0259
150,0.001,0.0706
150,0.005,0.0527
150,0.01,0.0447
150,0.05,0.0258
151,0.001,0.0752
151,0.005,0.053
151,0.01,0.0449
151,0.05,0.0257
152,0.001,0.0725
152,0.005,0.0528
152,0.01,0.0442
152,0.05,0.0255
153,0.001,0.0716
153,0.005,0.0524
153,0.01,0.0437
153,0.05,0.0253
154,0.001,0.0721
154,0.005,0.0519
154,0.01,0.0434
154,0.05,0.0251
155,0.001,0.0723
155,0.005,0.0519
155,0.01,0.0433
155,0.05,0.025
156,0.001,0.0705
156,0.005,0.0515
156,0.01,0.043
156,0.05,0.0249
157,0.001,0.068
157,0.005,0.0507
157,0.01,0.0416
157,0.05,0.0244
158,0.001,0.0687
158,0.005,0.0508
158,0.01,0.0423
158,0.05,0.0242
159,0.001,0.0699
159,0.005,0.0494
159,0.01,0.0417
159,0.05,0.0239
160,0.001,0.0702
160,0.005,0.0494
160,0.01,0.041
160,0.05,0.024
161,0.001,0.0668
161,0.005,0.0492
161,0.01,0.0412
161,0.05,0.0238
162,0.001,0.0693
162,0.005,0.0492
162,0.01,0.041
162,0.05,0.0236
163,0.001,0.0646
163,0.005,0.0475
163,0.01,0.041
163,0.05,0.0236
164,0.001,0.0672
164,0.005,0.0499
164,0.01,0.0415
164,0.05,0.0235
165,0.001,0.0673
165,0.005,0.0481
165,0.01,0.0404
165,0.05,0.0232
166,0.001,0.0667
166,0.005,0.0487
166,0.01,0.0404
166,0.05,0.023
167,0.001,0.0648
167,0.005,0.0476
167,0.01,0.0406
167,0.05,0.023
168,0.001,0.0645
168,0.005,0.0481
168,0.01,0.0395
168,0.05,0.0232
169,0.001,0.0637
169,0.005,0.0468
169,0.01,0.0389
169,0.05,0.0229
170,0.001,0.066
170,0.005,0.0473
170,0.01,0.0401
170,0.05,0.0228
171,0.001,0.0635
171,0.005,0.0464
171,0.01,0.039
171,0.05,0.0227
172,0.001,0.063
172,0.005,0.0466
172,0.01,0.0385
172,0.05,0.0223
173,0.001,0.0665
173,0.005,0.0471
173,0.01,0.0383
173,0.05,0.0222
174,0.001,0.0627
174,0.005,0.0454
174,0.01,0.0384
174,0.05,0.0222
175,0.001,0.063
175,0.005,0.0449
175,0.01,0.0375
175,0.05,0.022
176,0.001,0.0611
176,0.005,0.0456
176,0.01,0.0381
176,0.05,0.0218
177,0.001,0.0616
177,0.005,0.045
177,0.01,0.0378
177,0.05,0.022
178,0.001,0.0656
178,0.005,0.0455
178,0.01,0.0381
178,0.05,0.0215
179,0.001,0.0602
179,0.005,0.0431
179,0.01,0.0364
179,0.05,0.0215
180,0.001,0.0616
180,0.005,0.0441
180,0.01,0.0371
180,0.05,0.0214
181,0.001,0.06
181,0.005,0.0439
181,0.01,0.0369
181,0.05,0.0212
182,0.001,0.0615
182,0.005,0.0443
182,0.01,0.0373
182,0.05,0.0215
183,0.001,0.0614
183,0.005,0.0431
183,0.01,0.0368
183,0.05,0.0209
184,0.001,0.0582
184,0.005,0.0438
184,0.01,0.037
184,0.05,0.021
185,0.001,0.0581
185,0.005,0.0433
185,0.01,0.0366
185,0.05,0.0206
186,0.001,0.0581
186,0.005,0.0425
186,0.01,0.0356
186,0.05,0.0205
187,0.001,0.0587
187,0.005,0.0422
187,0.01,0.0356
187,0.05,0.0205
188,0.001,0.0585
188,0.005,0.0421
188,0.01,0.0357
188,0.05,0.0205
189,0.001,0.0577
189,0.005,0.0425
189,0.01,0.0355
189,0.05,0.0202
190,0.001,0.0575
190,0.005,0.0416
190,0.01,0.0349
190,0.05,0.0198
191,0.001,0.0573
191,0.005,0.042
191,0.01,0.0347
191,0.05,0.0201
192,0.001,0.0563
192,0.005,0.0416
192,0.01,0.035
192,0.05,0.0198
193,0.001,0.057
193,0.005,0.041
193,0.01,0.0346
193,0.05,0.0202
194,0.001,0.0578
194,0.005,0.042
194,0.01,0.0349
194,0.05,0.0199
195,0.001,0.0582
195,0.005,0.0411
195,0.01,0.0341
195,0.05,0.0198
196,0.001,0.0567
196,0.005,0.0399
196,0.01,0.0338
196,0.05,0.0197
197,0.001,0.0547
197,0.005,0.0399
197,0.01,0.0334
197,0.05,0.0195
198,0.001,0.0555
198,0.005,0.0398
198,0.01,0.0338
198,0.05,0.0195
199,0.001,0.055
199,0.005,0.0391
199,0.01,0.0332
199,0.05,0.0192
200,0.001,0.0555
200,0.005,0.0398
200,0.01,0.0332
200,0.05,0.0193
201,0.001,0.0554
201,0.005,0.0404
201,0.01,0.0335
201,0.05,0.0193
202,0.001,0.0553
202,0.005,0.0393
202,0.01,0.0331
202,0.05,0.019
203,0.001,0.0548
203,0.005,0.0405
203,0.01,0.0335
203,0.05,0.019
204,0.001,0.0541
204,0.005,0.0387
204,0.01,0.033
204,0.05,0.0189
205,0.001,0.053
205,0.005,0.0386
205,0.01,0.0326
205,0.05,0.0187
206,0.001,0.0542
206,0.005,0.0394
206,0.01,0.0328
206,0.05,0.0186
207,0.001,0.0522
207,0.005,0.0386
207,0.01,0.032
207,0.05,0.0185
208,0.001,0.0528
208,0.005,0.0382
208,0.01,0.0322
208,0.05,0.0185
209,0.001,0.0521
209,0.005,0.0384
209,0.01,0.0321
209,0.05,0.0184
210,0.001,0.0533
210,0.005,0.038
210,0.01,0.0318
210,0.05,0.018
211,0.001,0.0529
211,0.005,0.0381
211,0.01,0.032
211,0.05,0.0182
212,0.001,0.0525
212,0.005,0.0376
212,0.01,0.0317
212,0.05,0.0179
213,0.001,0.051
213,0.005,0.0368
213,0.01,0.0313
213,0.05,0.018
214,0.001,0.0521
214,0.005,0.0366
214,0.01,0.031
214,0.05,0.0179
215,0.001,0.0519
215,0.005,0.0367
215,0.01,0.0308
215,0.05,0.0177
216,0.001,0.0509
216,0.005,0.037
216,0.01,0.031
216,0.05,0.0177
217,0.001,0.0505
217,0.005,0.0355
217,0.01,0.0302
217,0.05,0.0175
218,0.001,0.0521
218,0.005,0.0372
218,0.01,0.0309
218,0.05,0.0176
219,0.001,0.0492
219,0.005,0.0361
219,0.01,0.0307
219,0.05,0.0174
220,0.001,0.0518
220,0.005,0.036
220,0.01,0.0301
220,0.05,0.0173
221,0.001,0.0492
221,0.005,0.0361
221,0.01,0.0304
221,0.05,0.0172
222,0.001,0.0503
222,0.005,0.0366
222,0.01,0.0304
222,0.05,0.0172
223,0.001,0.0497
223,0.005,0.0356
223,0.01,0.0299
223,0.05,0.0173
224,0.001,0.0487
224,0.005,0.0349
224,0.01,0.0296
224,0.05,0.0174
225,0.001,0.0481
225,0.005,0.0345
225,0.01,0.0293
225,0.05,0.0169
226,0.001,0.0493
226,0.005,0.0348
226,0.01,0.0291
226,0.05,0.0169
227,0.001,0.0454
227,0.005,0.0333
227,0.01,0.0285
227,0.05,0.0166
228,0.001,0.0479
228,0.005,0.0349
228,0.01,0.0296
228,0.05,0.0168
229,0.001,0.0474
229,0.005,0.0335
229,0.01,0.0288
229,0.05,0.0165
230,0.001,0.0471
230,0.005,0.0334
230,0.01,0.0286
