N,alpha,cutoff
200,0.005,0.0197
200,0.01,0.0165
200,0.05,0.0096
201,0.001,0.0273
201,0.005,0.02
201,0.01,0.0166
201,0.05,0.0096
202,0.001,0.0273
202,0.005,0.0195
202,0.01,0.0164
202,0.05,0.0095
203,0.001,0.027
203,0.005,0.02
203,0.01,0.0166
203,0.05,0.0095
204,0.001,0.0267
204,0.005,0.0192
204,0.01,0.0164
204,0.05,0.0094
205,0.001,0.0261
205,0.005,0.0191
205,0.01,0.0162
205,0.05,0.0093
206,0.001,0.0267
206,0.005,0.0195
206,0.01,0.0163
206,0.05,0.0092
207,0.001,0.0258
207,0.005,0.0191
207,0.01,0.0159
207,0.05,0.0092
208,0.001,0.026
208,0.005,0.0189
208,0.01,0.016
208,0.05,0.0092
209,0.001,0.0257
209,0.005,0.019
209,0.01,0.0159
209,0.05,0.0091
210,0.001,0.0263
210,0.005,0.0188
210,0.01,0.0158
210,0.05,0.009
211,0.001,0.0261
211,0.005,0.0189
211,0.01,0.0159
211,0.05,0.009
212,0.001,0.0259
212,0.005,0.0186
212,0.01,0.0157
212,0.05,0.0089
213,0.001,0.0252
213,0.005,0.0182
213,0.01,0.0156
213,0.05,0.009
214,0.001,0.0257
214,0.005,0.0181
214,0.01,0.0154
214,0.05,0.0089
215,0.001,0.0256
215,0.005,0.0182
215,0.01,0.0153
215,0.05,0.0088
216,0.001,0.0251
216,0.005,0.0183
216,0.01,0.0154
216,0.05,0.0088
217,0.001,0.0249
217,0.005,0.0176
217,0.01,0.015
217,0.05,0.0087
218,0.001,0.0257
218,0.005,0.0184
218,0.01,0.0154
218,0.05,0.0087
219,0.001,0.0243
219,0.005,0.0179
219,0.01,0.0153
219,0.05,0.0087
220,0.001,0.0256
220,0.005,0.0178
220,0.01,0.015
220,0.05,0.0086
221,0.001,0.0243
221,0.005,0.0179
221,0.01,0.0151
221,0.05,0.0086
222,0.001,0.0249
222,0.005,0.0182
222,0.01,0.0151
222,0.05,0.0086
223,0.001,0.0245
223,0.005,0.0177
223,0.01,0.0149
223,0.05,0.0086
224,0.001,0.0241
224,0.005,0.0173
224,0.01,0.0147
224,0.05,0.0087
225,0.001,0.0237
225,0.005,0.0171
225,0.01,0.0145
225,0.05,0.0084
226,0.001,0.0243
226,0.005,0.0173
226,0.01,0.0144
226,0.05,0.0084
227,0.001,0.0225
227,0.005,0.0165
227,0.01,0.0141
227,0.05,0.0083
228,0.001,0.0237
228,0.005,0.0173
228,0.01,0.0147
228,0.05,0.0084
229,0.001,0.0234
229,0.005,0.0166
229,0.01,0.0143
229,0.05,0.0082
230,0.001,0.0233
230,0.005,0.0166
230,0.01,0.0142
230,0.05,0.0083
231,0.001,0.0242
231,0.005,0.0169
231,0.01,0.0143
231,0.05,0.0082
232,0.001,0.0234
232,0.005,0.0173
232,0.01,0.0142
232,0.05,0.0083
233,0.001,0.023
233,0.005,0.0167
233,0.01,0.0142
233,0.05,0.0082
234,0.001,0.0232
234,0.005,0.0166
234,0.01,0.0139
234,0.05,0.0081
235,0.001,0.0225
235,0.005,0.0165
235,0.01,0.0141
235,0.05,0.0082
236,0.001,0.0227
236,0.005,0.0165
236,0.01,0.0139
236,0.05,0.008
237,0.001,0.0225
237,0.005,0.0164
237,0.01,0.0138
237,0.05,0.0081
238,0.001,0.0232
238,0.005,0.0164
238,0.01,0.0139
238,0.05,0.008
239,0.001,0.0228
239,0.005,0.0164
239,0.01,0.0138
239,0.05,0.008
240,0.001,0.0228
240,0.005,0.0164
240,0.01,0.0138
240,0.05,0.008
241,0.001,0.0225
241,0.005,0.0161
241,0.01,0.0136
